,User,CouponCode,Category,SubCategory,Type,Company,Redeemed,CouponDiscount,AmountSpent,Clicked,TimeStamp
22,36-6834124,ELEC-MIN-SAM-20,ELECTRONIC,MINIAPPLIANCES,MOBILE,SAMSUNG,1,20,2350,1,2021-08-03 02:22:31
23,02-2231897,REAP-ACC-CHE-10,RETAIL_APPAREL,ACCESSORIES,TIE,CHECKUPS,0,10,450,0,2019-12-01 01:21:21
24,32-7896766,FOBV-ALC-FRA-20,FOOD_BEVERAGES,ALCOHOL,WINE,FRANC,1,20,700,0,2019-02-24 12:50:59
25,60-7976992,REAP-COS-LAC-10,RETAIL_APPAREL,COSMETICS,LIPSTICK,LACME,1,10,950,0,2021-06-24 10:18:00
26,87-2415294,REAP-MEN-VAN-20,RETAIL_APPAREL,MENSWESTERNWEAR,SHIRT,VANHEUSEN,1,20,1250,1,2018-04-22 03:30:15
27,34-4066295,TRAV-RAI-BOO-30,TRAVEL,RAILLWAY,TRAM,BOOKMYTRIP,1,30,19450,0,2022-04-01 07:21:32
28,71-8673089,REAP-MEN-POL-20,RETAIL_APPAREL,MENSWESTERNWEAR,BLAZZER,POLARCAPS,0,20,1450,0,2018-10-02 14:03:46
29,67-8885839,ELEC-BIG-WHI-20,ELECTRONIC,BIGAPPLIANCES,WASHINGMACHINE,WHIRPOOL,0,20,1700,1,2022-05-22 03:22:00
30,25-3741269,REAP-COS-GAR-10,RETAIL_APPAREL,COSMETICS,GEL,GARNIER,1,10,950,1,2018-06-25 21:25:06
31,07-4470118,REAP-COS-YAR-20,RETAIL_APPAREL,COSMETICS,POWDER,YARDLEY,1,20,1200,0,2018-02-22 11:29:51
32,37-3485138,TRAV-AIR-TOM-40,TRAVEL,AIR,INTERNATIONAL,TOM&COOKS,1,40,29600,1,2019-10-17 06:32:16
33,98-2890115,TRAV-RAI-BOO-50,TRAVEL,RAILLWAY,METRO,BOOKMYTRIP,1,50,48200,1,2020-07-11 10:16:52
34,87-3616236,ELEC-MIN-SAM-30,ELECTRONIC,MINIAPPLIANCES,TABLET,SAMSUNG,0,30,2850,1,2020-11-12 16:00:48
35,81-0865514,TRAV-ROA-GOI-30,TRAVEL,ROAD,BUS,GOIBIBO,0,30,18800,0,2021-03-18 21:05:06
36,20-3804823,FOBV-WAR-SOC-20,FOOD_BEVERAGES,WARMDRINKS,TEA,SOCIETY,1,20,650,0,2018-12-30 22:09:17
37,66-2115849,ELEC-BIG-SAM-30,ELECTRONIC,BIGAPPLIANCES,TV,SAMSUNG,0,30,2850,0,2020-04-06 17:47:06
38,74-6016956,TRAV-RAI-MUM-40,TRAVEL,RAILLWAY,METRO,MUMBAIMETRO,1,40,33050,0,2021-05-26 23:38:11
39,37-3318687,TRAV-RAI-IRC-40,TRAVEL,RAILLWAY,INTERSTATETRAIN,IRCTC,0,40,31050,1,2020-09-25 14:05:28
40,73-9359978,TRAV-ROA-TOM-50,TRAVEL,ROAD,BUS,TOM&COOKS,1,50,45200,0,2021-02-22 19:12:51
41,61-9470805,TRAV-ROA-BOO-20,TRAVEL,ROAD,BUS,BOOKMYTRIP,1,20,7950,0,2019-05-06 18:35:25
42,03-4408593,REAP-ACC-MON-30,RETAIL_APPAREL,ACCESSORIES,SHOES,MONA,0,30,1950,0,2019-08-28 05:49:42
43,50-0652573,ENTE-MOV-CIN-20,ENTERTAINMENT,MOVIE,ENGLISH,CINEPOLIS,1,20,1500,0,2019-10-11 03:22:32
44,51-3587353,TRAV-ROA-UBE-40,TRAVEL,ROAD,VEHICLE,UBER,0,40,30750,0,2022-01-06 15:14:52
45,40-3402955,FOBV-ALC-BAR-10,FOOD_BEVERAGES,ALCOHOL,RUM,BARCELO,0,10,350,0,2022-02-19 04:58:11
46,53-8928494,FOBV-FAS-PIZ-10,FOOD_BEVERAGES,FASTFOOD,PIZZA,PIZZAHUT,1,10,400,1,2022-01-14 21:11:56
47,17-0539265,FOBV-SOF-COC-10,FOOD_BEVERAGES,SOFTDRINKS,LIME,COCOCOLA,0,10,350,0,2019-06-25 08:32:14
48,77-7537887,ELEC-BIG-LG-10,ELECTRONIC,BIGAPPLIANCES,FRIDGE,LG,0,10,1550,0,2021-09-05 13:24:08
49,50-0583695,ENTE-MUS-JEH-10,ENTERTAINMENT,MUSEUMS,ART,JEHANGIR,1,10,800,0,2019-03-20 17:27:52
50,39-0688260,FOBV-FAS-PVR-20,FOOD_BEVERAGES,FASTFOOD,BURGERS,PVR,1,20,550,0,2021-05-23 10:04:24
51,22-4863527,FOBV-ALC-JHO-20,FOOD_BEVERAGES,ALCOHOL,WHISKEY,JHONIEE,1,20,750,1,2021-11-12 18:58:15
52,06-7661446,ENTE-MOV-PVR-20,ENTERTAINMENT,MOVIE,HINDI,PVR,1,20,1200,0,2021-10-26 03:55:48
53,17-0965731,ENTE-SPO-IND-10,ENTERTAINMENT,SPORTS,CRICKET,INDIA,1,10,300,0,2021-10-24 06:22:40
54,21-5851226,TRAV-ROA-GOI-30,TRAVEL,ROAD,TEMPO,GOIBIBO,1,30,23650,1,2022-02-17 10:01:04
55,18-8332043,TRAV-ROA-RAP-30,TRAVEL,ROAD,VEHICLE,RAPIDO,1,30,16600,1,2020-10-10 03:29:16
56,54-2300404,ELEC-BIG-WHI-40,ELECTRONIC,BIGAPPLIANCES,WASHINGMACHINE,WHIRPOOL,0,40,4750,0,2020-08-03 02:01:45
57,99-1375504,REAP-ETH-SAD-30,RETAIL_APPAREL,ETHINICWEAR,SAREE,SADHNA,1,30,1750,0,2020-05-27 07:27:42
58,55-5200681,ELEC-BIG-LG-35,ELECTRONIC,BIGAPPLIANCES,TV,LG,1,35,3950,1,2018-05-17 11:55:15
59,72-4393700,TRAV-RAI-BOO-50,TRAVEL,RAILLWAY,TRAM,BOOKMYTRIP,0,50,46950,0,2018-11-29 20:06:16
60,75-2179162,ENTE-MUS-JEH-20,ENTERTAINMENT,MUSEUMS,ART,JEHANGIR,0,20,1550,0,2022-06-01 11:05:48
61,39-4537723,ENTE-SPO-FIF-20,ENTERTAINMENT,SPORTS,FOOTBALL,FIFA,0,20,1400,1,2021-04-04 05:31:33
62,55-5759454,TRAV-RAI-IRC-30,TRAVEL,RAILLWAY,INTERSTATETRAIN,IRCTC,1,30,23550,1,2020-07-04 12:46:07
63,62-5184591,TRAV-WAT-CNT-30,TRAVEL,WATER,FERRI,CNTTRAVEL,0,30,23650,0,2018-08-24 07:12:56
64,06-7950055,REAP-LAD-H&M-20,RETAIL_APPAREL,LADIESWESTERNWEAR,DRESS,H&M,1,20,1200,1,2021-08-15 04:11:44
65,40-7853016,ELEC-BIG-WHI-30,ELECTRONIC,BIGAPPLIANCES,WASHINGMACHINE,WHIRPOOL,1,30,3850,0,2020-12-14 22:15:30
66,91-1554741,FOBV-ALC-KIN-20,FOOD_BEVERAGES,ALCOHOL,BEER,KINGFISHER,0,20,550,1,2021-02-02 14:37:56
67,82-0157914,ELEC-BIG-CRO-15,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,CROMA,1,15,1600,0,2021-05-27 19:52:25
68,31-9799396,TRAV-AIR-GOI-45,TRAVEL,AIR,INTERNATIONAL,GOIBIBO,0,45,43300,1,2020-11-07 08:57:20
69,83-5094369,REAP-ACC-SHI-25,RETAIL_APPAREL,ACCESSORIES,EARINGS,SHINNING,0,25,1700,0,2018-09-26 15:20:51
70,54-1747298,REAP-ETH-COL-20,RETAIL_APPAREL,ETHINICWEAR,SALVAAR,COLORSOFINDIA,1,20,1250,0,2021-07-12 07:41:16
71,82-9263678,TRAV-AIR-AME-30,TRAVEL,AIR,INTERNATIONAL,AMERICAN AIR,0,30,19950,1,2019-10-21 13:26:51
72,25-3741269,ENTE-MUS-JEH-10,ENTERTAINMENT,MUSEUMS,ART,JEHANGIR,0,10,650,0,2020-06-17 16:39:25
73,73-1582929,REAP-LAD-DEN-20,RETAIL_APPAREL,LADIESWESTERNWEAR,CROPTOP,DENIM,0,20,1250,0,2022-06-09 04:56:06
74,73-0482491,FOBV-FAS-PVR-20,FOOD_BEVERAGES,FASTFOOD,SANDWHICH,PVR,1,20,700,0,2019-12-31 13:00:24
75,64-4468784,FOBV-FAS-CHE-30,FOOD_BEVERAGES,FASTFOOD,SANDWHICH,CHEEZILA,0,30,850,0,2021-11-13 21:20:14
76,59-1519719,ENTE-MOV-MOV-20,ENTERTAINMENT,MOVIE,HINDI,MOVIETIME,1,20,1350,0,2020-05-09 06:56:30
77,43-0463344,FOBV-FAS-PIZ-15,FOOD_BEVERAGES,FASTFOOD,PIZZA,PIZZAHUT,1,15,450,0,2022-01-31 08:56:57
78,03-1736582,ENTE-SPO-IPL-20,ENTERTAINMENT,SPORTS,CRICKET,IPL,1,20,1100,0,2020-03-09 09:38:09
79,66-4276118,FOBV-ALC-LOU-10,FOOD_BEVERAGES,ALCOHOL,WINE,LOUIS,1,10,100,1,2021-06-27 06:23:31
80,20-0102480,ELEC-BIG-LG-30,ELECTRONIC,BIGAPPLIANCES,WASHINGMACHINE,LG,1,30,3450,1,2021-10-27 08:59:51
81,95-0867522,REAP-COS-RED-20,RETAIL_APPAREL,COSMETICS,LIPSTICK,REDLIPS,0,20,1650,1,2019-04-30 18:09:07
82,71-3135340,TRAV-ROA-TOM-30,TRAVEL,ROAD,BUS,TOM&COOKS,0,30,24850,0,2021-03-05 13:15:12
83,17-0976658,TRAV-ROA-UBE-40,TRAVEL,ROAD,TAXI,UBER,1,40,41200,1,2020-04-13 04:17:03
84,20-4685560,TRAV-RAI-IRC-20,TRAVEL,RAILLWAY,INTERSTATETRAIN,IRCTC,1,20,5950,1,2021-05-22 21:54:59
85,30-2824529,ENTE-CAR-AFR-20,ENTERTAINMENT,CARNIVAL,CIRCUS,AFROCIRCUS,1,20,1100,0,2021-03-28 18:10:32
86,88-4575057,TRAV-AIR-GOI-30,TRAVEL,AIR,INTERNATIONAL,GOIBIBO,1,30,22900,0,2019-02-24 22:16:04
87,09-8258691,TRAV-AIR-AME-20,TRAVEL,AIR,INTERNATIONAL,AMERICAN AIR,0,20,12250,1,2021-02-20 22:51:51
88,42-3686129,REAP-MEN-CHE-30,RETAIL_APPAREL,MENSWESTERNWEAR,BLAZZER,CHECKUPS,1,30,1750,1,2019-01-08 03:50:17
89,32-9528563,ENTE-MUS-NAT-20,ENTERTAINMENT,MUSEUMS,HISTORY,NATIONALMUSEUMOFINDIA,1,20,1050,0,2019-08-05 05:13:54
90,26-3887900,ENTE-SPO-IPL-10,ENTERTAINMENT,SPORTS,CRICKET,IPL,1,10,550,0,2018-04-26 20:58:02
91,84-8460028,TRAV-ROA-TOM-30,TRAVEL,ROAD,BUS,TOM&COOKS,1,30,17550,0,2019-09-03 22:39:34
92,81-3451055,TRAV-ROA-RAP-25,TRAVEL,ROAD,VEHICLE,RAPIDO,1,25,13800,0,2022-06-07 11:33:39
93,72-6338608,ELEC-BIG-HIT-40,ELECTRONIC,BIGAPPLIANCES,FRIDGE,HITACHI,1,40,4600,1,2020-10-10 08:51:28
94,56-2384573,FOBV-FAS-PVR-20,FOOD_BEVERAGES,FASTFOOD,SANDWHICH,PVR,0,20,700,0,2018-04-16 08:43:33
95,74-6016956,TRAV-WAT-YAT-45,TRAVEL,WATER,CRUISE,YATRA,1,45,42500,0,2020-07-15 12:57:55
96,59-3417287,TRAV-ROA-GOI-50,TRAVEL,ROAD,TEMPO,GOIBIBO,0,50,44450,0,2020-11-17 16:02:56
97,90-6146576,REAP-ACC-CHE-10,RETAIL_APPAREL,ACCESSORIES,BOW,CHECKUPS,1,10,450,0,2020-02-13 13:48:38
98,02-8281671,FOBV-WAR-NES-10,FOOD_BEVERAGES,WARMDRINKS,COFFEE,NESCAFE,0,10,100,1,2019-09-23 16:43:17
99,54-9376611,REAP-ETH-SAD-10,RETAIL_APPAREL,ETHINICWEAR,SAREE,SADHNA,1,10,700,0,2021-12-24 10:56:38
100,80-7172753,ELEC-BIG-SAM-20,ELECTRONIC,BIGAPPLIANCES,TV,SAMSUNG,1,20,2100,0,2018-09-24 00:53:24
101,98-5492874,FOBV-ALC-LOU-20,FOOD_BEVERAGES,ALCOHOL,WINE,LOUIS,1,20,500,0,2021-06-02 13:18:45
102,81-6100252,FOBV-FAS-SUB-30,FOOD_BEVERAGES,FASTFOOD,SANDWHICH,SUBWAY,0,30,950,0,2018-02-28 16:27:55
103,41-3745152,TRAV-RAI-BOO-30,TRAVEL,RAILLWAY,METRO,BOOKMYTRIP,1,30,16100,0,2020-03-09 13:58:31
104,93-3192642,ELEC-BIG-LG-30,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,LG,0,30,3400,0,2021-12-01 15:07:57
105,52-4296349,FOBV-WAR-TAT-10,FOOD_BEVERAGES,WARMDRINKS,COFFEE,TATA,1,10,100,1,2022-01-22 11:01:19
106,17-1233921,ENTE-EVE-TEC-20,ENTERTAINMENT,EVENTS,EXHIBITION,TECHNOCRATS,1,20,1100,0,2021-05-24 10:39:33
107,34-9314904,ELEC-BIG-LG-30,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,LG,0,30,3200,1,2022-03-08 21:44:18
108,24-4215928,FOBV-ALC-KIN-10,FOOD_BEVERAGES,ALCOHOL,BEER,KINGFISHER,1,10,400,0,2022-02-15 18:10:06
109,43-9458212,ELEC-BIG-LG-10,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,LG,0,10,1150,0,2018-10-21 06:41:03
110,90-3893222,ELEC-BIG-IGE-30,ELECTRONIC,BIGAPPLIANCES,FRIDGE,IGENERAL,1,30,3650,1,2022-06-04 06:11:22
111,99-4196932,ELEC-BIG-WHI-40,ELECTRONIC,BIGAPPLIANCES,WASHINGMACHINE,WHIRPOOL,0,40,4000,1,2019-11-24 04:10:51
112,45-1327581,REAP-MEN-TRI-20,RETAIL_APPAREL,MENSWESTERNWEAR,COAT,TRIPLE,0,20,1650,0,2021-01-27 18:38:42
113,89-3010425,ELEC-BIG-SAM-30,ELECTRONIC,BIGAPPLIANCES,TV,SAMSUNG,0,30,3650,1,2019-07-30 18:26:37
114,02-0570720,ELEC-BIG-LG-20,ELECTRONIC,BIGAPPLIANCES,TV,LG,0,20,2700,0,2019-10-01 15:44:31
115,85-7609076,ELEC-MIN-DEL-20,ELECTRONIC,MINIAPPLIANCES,LAPTOP,DELL,1,20,2700,0,2021-06-08 11:27:12
116,11-7431965,TRAV-ROA-UBE-30,TRAVEL,ROAD,VEHICLE,UBER,0,30,19450,0,2018-06-24 09:37:23
117,21-0370336,FOBV-FAS-CHI-10,FOOD_BEVERAGES,FASTFOOD,BURGERS,CHIPOTLE,1,10,300,0,2020-04-07 04:05:52
118,11-9558504,ELEC-BIG-SAM-30,ELECTRONIC,BIGAPPLIANCES,WASHINGMACHINE,SAMSUNG,0,30,3250,1,2021-10-16 11:07:27
119,47-5043414,FOBV-WAR-TAT-30,FOOD_BEVERAGES,WARMDRINKS,TEA,TATA,1,30,950,0,2018-08-27 10:37:56
120,93-0774280,ENTE-SPO-FIF-10,ENTERTAINMENT,SPORTS,FOOTBALL,FIFA,0,10,800,1,2020-09-27 03:07:48
121,62-4400377,TRAV-RAI-IRC-30,TRAVEL,RAILLWAY,INTERSTATETRAIN,IRCTC,0,30,19600,0,2022-03-12 11:38:00
122,80-5509985,ELEC-BIG-LG-40,ELECTRONIC,BIGAPPLIANCES,TV,LG,0,40,4400,1,2022-01-13 23:40:47
123,95-5986152,TRAV-RAI-BOO-45,TRAVEL,RAILLWAY,DAILYTRAIN,BOOKMYTRIP,1,45,42700,0,2018-08-18 09:49:09
124,97-6743641,FOBV-ALC-BAC-10,FOOD_BEVERAGES,ALCOHOL,RUM,BACARDI,0,10,350,0,2021-06-26 16:31:13
125,41-1249469,TRAV-ROA-GOI-30,TRAVEL,ROAD,TEMPO,GOIBIBO,1,30,27300,0,2022-05-10 18:06:27
126,30-0112805,TRAV-RAI-IND-20,TRAVEL,RAILLWAY,DAILYTRAIN,INDIANRAIL,1,20,11350,1,2020-05-21 21:22:58
127,64-4602138,ENTE-MOV-INO-5,ENTERTAINMENT,MOVIE,ENGLISH,INOX,0,5,200,0,2019-01-19 20:57:16
128,52-2049538,FOBV-WAR-NES-10,FOOD_BEVERAGES,WARMDRINKS,COFFEE,NESCAFE,1,10,200,0,2021-11-30 19:39:08
129,07-0056797,ELEC-MIN-SON-30,ELECTRONIC,MINIAPPLIANCES,SPEAKER,SONY,1,30,3700,1,2019-08-11 22:16:59
130,97-0524859,ELEC-BIG-SAM-30,ELECTRONIC,BIGAPPLIANCES,FRIDGE,SAMSUNG,1,30,2950,0,2019-11-16 20:14:47
131,30-1008512,ENTE-MOV-MOV-20,ENTERTAINMENT,MOVIE,ENGLISH,MOVIETIME,0,20,1050,0,2019-02-20 08:57:24
132,63-2240520,ELEC-BIG-SON-20,ELECTRONIC,BIGAPPLIANCES,TV,SONY,1,20,1850,0,2020-10-05 20:20:47
133,48-0939466,ENTE-SPO-CVC-25,ENTERTAINMENT,SPORTS,BASEBALL,CVCL,1,25,1650,0,2018-07-11 08:26:14
134,26-7271559,FOBV-SOF-PEP-10,FOOD_BEVERAGES,SOFTDRINKS,COLA,PEPSI,0,10,250,0,2018-01-28 03:55:07
135,20-5601570,FOBV-ALC-BAR-10,FOOD_BEVERAGES,ALCOHOL,RUM,BARCELO,1,10,300,1,2021-08-27 01:07:54
136,75-4560630,FOBV-FAS-CHI-10,FOOD_BEVERAGES,FASTFOOD,BURGERS,CHIPOTLE,1,10,350,1,2018-11-15 02:07:23
137,88-9802412,REAP-LAD-H&M-10,RETAIL_APPAREL,LADIESWESTERNWEAR,PANTWOMEN,H&M,0,10,700,0,2019-01-11 14:13:15
138,09-4324019,FOBV-FAS-CHI-20,FOOD_BEVERAGES,FASTFOOD,BURGERS,CHIPOTLE,1,20,800,0,2020-10-10 20:53:52
139,17-1233921,ENTE-MUS-NAT-20,ENTERTAINMENT,MUSEUMS,HISTORY,NATIONALMUSEUMOFINDIA,1,20,1550,1,2018-08-06 03:40:27
140,97-1585715,ENTE-EVE-MSM-10,ENTERTAINMENT,EVENTS,BUSINESSCONCLAVE,MSME,1,10,850,0,2019-09-16 21:09:49
141,57-0656931,TRAV-WAT-CNT-40,TRAVEL,WATER,FERRI,CNTTRAVEL,1,40,40400,0,2019-05-09 11:35:59
142,80-9815761,ENTE-MOV-PVR-10,ENTERTAINMENT,MOVIE,ENGLISH,PVR,1,10,450,0,2019-03-26 00:54:26
143,37-6475904,FOBV-WAR-RED-15,FOOD_BEVERAGES,WARMDRINKS,TEA,REDLABEL,0,15,450,0,2022-05-07 22:43:18
144,39-7021763,REAP-ETH-ALA-20,RETAIL_APPAREL,ETHINICWEAR,DHOTI,ALAYA,0,20,1100,0,2019-08-09 08:14:26
145,98-6306646,REAP-ACC-NIK-20,RETAIL_APPAREL,ACCESSORIES,SHOES,NIKE,1,20,1200,1,2019-10-31 22:15:48
146,27-5002233,ELEC-BIG-LG-30,ELECTRONIC,BIGAPPLIANCES,TV,LG,1,30,3600,0,2018-08-23 11:28:31
147,95-1312732,FOBV-ALC-JHO-20,FOOD_BEVERAGES,ALCOHOL,WHISKEY,JHONIEE,0,20,550,0,2018-10-14 07:30:01
148,58-1775914,ELEC-BIG-CRO-20,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,CROMA,0,20,2350,1,2019-09-17 02:08:17
149,02-3749106,ELEC-MIN-SON-30,ELECTRONIC,MINIAPPLIANCES,SPEAKER,SONY,0,30,3000,1,2020-07-04 05:00:23
150,96-4007857,ELEC-BIG-SAM-30,ELECTRONIC,BIGAPPLIANCES,TV,SAMSUNG,0,30,3450,1,2019-05-01 04:20:14
151,40-5094567,FOBV-FAS-SMO-5,FOOD_BEVERAGES,FASTFOOD,PIZZA,SMOKINJOE,1,5,50,1,2018-10-20 21:56:29
152,54-8672727,ELEC-MIN-BOS-30,ELECTRONIC,MINIAPPLIANCES,EARPHONE,BOSE,1,30,3400,1,2020-11-04 14:14:09
153,10-2167671,ELEC-BIG-SON-20,ELECTRONIC,BIGAPPLIANCES,TV,SONY,1,20,2300,0,2019-06-16 15:32:41
154,48-3278146,REAP-ETH-COL-10,RETAIL_APPAREL,ETHINICWEAR,SALVAAR,COLORSOFINDIA,0,10,700,0,2022-03-17 23:18:23
155,93-8655532,ENTE-MUS-JEH-10,ENTERTAINMENT,MUSEUMS,ART,JEHANGIR,1,10,800,0,2020-10-07 17:19:50
156,74-3684256,FOBV-ALC-JHO-20,FOOD_BEVERAGES,ALCOHOL,WHISKEY,JHONIEE,1,20,650,0,2021-10-21 21:46:20
157,20-2502096,ENTE-EVE-ISJ-20,ENTERTAINMENT,EVENTS,TECHCONFERENCE,ISJRT,1,20,1500,0,2019-03-26 16:25:47
158,26-7271559,FOBV-WAR-NES-20,FOOD_BEVERAGES,WARMDRINKS,COFFEE,NESCAFE,1,20,500,0,2018-11-07 02:51:04
159,57-9958528,FOBV-SOF-PEP-10,FOOD_BEVERAGES,SOFTDRINKS,ORANGE,PEPSI,0,10,200,0,2020-07-09 22:38:56
160,02-3246779,REAP-LAD-DEN-10,RETAIL_APPAREL,LADIESWESTERNWEAR,PANTWOMEN,DENIM,0,10,700,1,2020-02-03 16:08:24
161,19-7604915,TRAV-AIR-BOO-40,TRAVEL,AIR,DOMESTIC,BOOKMYTRIP,1,40,40800,1,2022-01-24 07:01:21
162,81-8911269,REAP-ACC-CHE-20,RETAIL_APPAREL,ACCESSORIES,TIE,CHECKUPS,0,20,1200,1,2021-04-20 00:53:53
163,07-0141393,ELEC-BIG-LG-30,ELECTRONIC,BIGAPPLIANCES,TV,LG,1,30,3150,0,2018-04-02 08:05:40
164,76-7798570,REAP-LAD-H&M-30,RETAIL_APPAREL,LADIESWESTERNWEAR,SKIRT,H&M,1,30,1950,1,2019-02-11 12:55:32
165,40-6544332,REAP-LAD-DEN-5,RETAIL_APPAREL,LADIESWESTERNWEAR,SKIRT,DENIM,0,5,300,0,2020-01-21 12:48:16
166,39-8885657,TRAV-RAI-BOO-30,TRAVEL,RAILLWAY,DAILYTRAIN,BOOKMYTRIP,1,30,24650,0,2018-11-12 01:08:31
167,45-7918381,TRAV-RAI-BOO-30,TRAVEL,RAILLWAY,TRAM,BOOKMYTRIP,0,30,22200,1,2019-06-03 05:59:39
168,11-4277974,ELEC-BIG-SON-30,ELECTRONIC,BIGAPPLIANCES,TV,SONY,1,30,3500,0,2021-10-21 23:32:27
169,06-7950055,TRAV-AIR-BOO-40,TRAVEL,AIR,DOMESTIC,BOOKMYTRIP,0,40,39350,0,2018-03-24 17:12:36
170,48-3278146,ENTE-CON-REG-20,ENTERTAINMENT,CONCERTS,INDIAN,REGAL,1,20,1250,1,2020-04-01 03:07:58
171,36-0435032,REAP-COS-MYG-20,RETAIL_APPAREL,COSMETICS,POLISH,MYGLAMM,0,20,1450,1,2019-12-14 10:11:23
172,33-6287223,ELEC-BIG-LG-20,ELECTRONIC,BIGAPPLIANCES,TV,LG,0,20,1900,0,2020-07-22 01:32:51
173,23-4080336,REAP-COS-SHI-20,RETAIL_APPAREL,COSMETICS,GEL,SHINE,0,20,1450,1,2019-07-26 16:35:29
174,66-4675268,FOBV-CON-CAF-20,FOOD_BEVERAGES,CONTINENTAL,EUROPEAN,CAFEBLEU,1,20,600,0,2020-04-20 13:15:05
175,02-0570720,ELEC-MIN-OPP-40,ELECTRONIC,MINIAPPLIANCES,MOBILE,OPPO,0,40,4150,0,2018-05-25 06:05:23
176,45-2271340,TRAV-WAT-M2M-30,TRAVEL,WATER,FERRI,M2M,0,30,14250,1,2021-08-09 09:33:47
177,07-4671524,REAP-MEN-NOR-10,RETAIL_APPAREL,MENSWESTERNWEAR,COAT,NORTHERN,1,10,950,0,2019-12-04 05:14:13
178,59-3417287,REAP-LAD-DEN-10,RETAIL_APPAREL,LADIESWESTERNWEAR,DRESS,DENIM,1,10,650,1,2018-12-03 16:56:32
179,42-9019645,ELEC-BIG-LG-30,ELECTRONIC,BIGAPPLIANCES,TV,LG,1,30,3100,1,2018-12-23 01:27:21
180,14-3906039,ENTE-MUS-CST-10,ENTERTAINMENT,MUSEUMS,HISTORY,CSTMUSEUM,1,10,450,0,2021-01-11 03:20:36
181,21-4510272,REAP-COS-MYG-20,RETAIL_APPAREL,COSMETICS,POLISH,MYGLAMM,0,20,1300,1,2020-03-22 03:55:06
